Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202 000 008 099,00;1;630;0;N/A;3;4;0;1;14;237;3;;-1;1;0;1;90
202 000 008 100,00;1;86;0;N/A;1;3;0;1;6;250;3;;-1;1;0;1;90
202 000 008 101,00;1;AUTOROUTE A86;0;N/A;3;6;0;1;21;500;1;;-1;1;1;1;90
202 000 008 102,00;2;RN 184;0;N/A;3;6;0;2;3;150;1;;-1;2;0;1;50
202 000 008 103,00;1;15;0;N/A;3;8;0;2;4;0;3;;-1;1;0;1;90
202 000 008 104,00;1;AUTOROUTE A86;0;N/A;3;11;0;1;25;500;3;;-1;1;0;1;70
202 000 008 105,00;1; A3;0;N/A;3;9;0;1;11;500;1;;-1;1;0;1;110
202 000 008 106,00;1;86;0;N/A;3;6;0;1;11;800;1;;-1;1;0;1;70
202 000 008 107,00;1;A4;0;N/A;-1;4;0;1;7;500;1;;-1;1;2;1;90
202 000 008 108,00;3;908;0;N/A;2;2;0;1;11;200;3;;-1;1;0;1;30
202 000 008 109,00;3;DES TERMES (ROUTE) RD 908;0;N/A;2;2;0;2;1;0;2;;-1;1;0;1;70
202 000 008 110,00;3;154 CHAMP DE COURSES (RUE DU);0;N/A;2;2;0;1;1;200;1;;-1;1;0;1;50
202 000 008 111,00;4;622;0;N/A;2;2;1;2;0;0;1;;-1;1;5;1;50
202 000 008 112,00;4;358;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
202 000 008 113,00;4;LAURENT VERGES(AVENUE);0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
202 000 008 114,00;4;route  DE RABAN;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
202 000 008 115,00;4;JEAN JAURES                         (AV);0;N/A;2;4;1;1;-1;-1;1;;-1;1;0;1;50
202 000 008 116,00;1;AUTOROUTE A1;0;N/A;3;4;0;1;5;300;1;;-1;1;0;1;90
202 000 008 117,00;4;EUROPE (DE L')                      (BD);0;N/A;3;2;0;1;0;0;1;;-1;1;0;1;50
202 000 008 118,00;2;RN520 (COUZEIX);0;N/A;2;2;0;1;6;0;1;;-1;1;0;1;80
202 000 008 119,00;4;MONNET (RUE JEAN);0;N/A;4;3;0;1;0;0;1;;-1;1;0;1;30
202 000 008 120,00;4;MAUVENDIERE (RUE DE LA);0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
202 000 008 121,00;3;8;0;N/A;1;3;0;1;27;300;1;;-1;1;0;1;70
202 000 008 122,00;4;NC;0;N/A;2;2;0;1;0;0;1;;-1;1;0;5;70
202 000 008 123,00;3;CD 14;0;N/A;1;2;0;1;1;650;3;;-1;2;5;1;30
202 000 008 124,00;3;43;0;N/A;3;2;0;1;3;560;1;;-1;1;0;1;50
202 000 008 125,00;3;6015;0;N/A;2;3;3;1;12;1150;1;;-1;1;-1;1;50
202 000 008 126,00;3;VALLEES (ROUTE DES);0;N/A;-1;0;0;1;32;700;1;;-1;1;0;1;50
202 000 008 127,00;3;103;0;N/A;-1;3;0;2;0;0;1;;-1;1;0;1;30
202 000 008 128,00;3;29;0;N/A;3;4;0;1;0;300;1;;-1;1;0;1;50
202 000 008 129,00;4;N/A;0;N/A;2;3;0;1;0;0;1;;-1;1;0;1;50
202 000 008 130,00;3;PASSICOT JEAN MARTIN (BD DU COMMANDANT);0;N/A;1;1;0;1;26;500;3;;-1;1;0;1;50
202 000 008 131,00;3;810;0;N/A;1;1;0;1;24;399;2;;-1;1;9;8;50
202 000 008 132,00;4;BASSILOUR (RUE);0;N/A;2;2;0;1;0;0;3;;-1;1;0;1;50
202 000 008 133,00;4;N/A;0;N/A;2;2;0;2;0;0;1;;-1;1;0;1;30
202 000 008 134,00;3;962;0;A;2;2;0;1;34;670;1;;-1;1;0;3;90
202 000 008 135,00;3;932;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
202 000 008 136,00;7;749ARD;0;N/A;4;3;0;1;-1;-1;3;;-1;1;5;1;50
202 000 008 137,00;7;933;0;N/A;2;2;2;1;-1;-1;1;;-1;1;5;1;50
202 000 008 138,00;7;941;0;N/A;2;4;1;1;-1;-1;1;;-1;1;4;1;50
202 000 008 139,00;7;945;0;N/A;2;2;0;1;-1;-1;1;;-1;2;0;1;70
202 000 008 140,00;3;194;0;N/A;2;2;0;2;8;990;1;;-1;2;0;4;50
202 000 008 141,00;4;N/A;0;N/A;2;2;0;1;0;0;4;;-1;2;0;1;50
202 000 008 142,00;3;71;0;N/A;1;1;0;1;2;594;2;;-1;1;3;1;50
202 000 008 143,00;4;N/A;-1;N/A;1;-1;-1;1;-1;-1;1;;-1;1;5;1;-1
202 000 008 144,00;4;N/A;0;N/A;2;4;0;1;-1;0;1;;-1;1;0;1;50
202 000 008 145,00;3;37;0;N/A;3;4;0;1;-1;-1;2;;-1;2;0;1;90
202 000 008 146,00;4;N/A;0;N/A;1;1;0;1;-1;-1;1;;-1;2;0;1;50
202 000 008 147,00;3;751;0;N/A;2;3;0;1;-1;-1;1;;-1;2;5;1;50
202 000 008 148,00;4;ALMA (DE L');0;N/A;2;2;0;2;0;0;1;;-1;2;0;1;30
202 000 008 149,00;4;CRS DE LA MARNE;0;N/A;2;3;1;1;-1;-1;1;;-1;1;0;1;50
202 000 008 150,00;4;FAITA VINCENT (RUE);0;N/A;2;0;0;1;0;0;1;;-1;1;0;1;50
202 000 008 151,00;4;267 rue Faventines ;0;N/A;2;3;0;1;-1;-1;1;;-1;1;0;1;50
202 000 008 152,00;3;8;0;N/A;2;0;0;2;46;700;1;;-1;1;0;1;50
202 000 008 153,00;4;N/A;0;N/A;1;1;0;1;0;0;1;;-1;1;0;1;50
202 000 008 154,00;4;MORETTI (BOULEVARD);0;N/A;2;2;0;1;1;0;1;;-1;1;0;1;50
202 000 008 155,00;3;569;0;N;2;2;0;1;1;0;1;;-1;1;0;1;80
202 000 008 156,00;4;N/A;0;N/A;1;2;0;1;-1;-1;3;;-1;1;0;1;50
202 000 008 157,00;4;JUIN MARECHAL;0;N/A;-1;2;0;1;0;0;1;;-1;1;0;1;50
202 000 008 158,00;4;JULES GUESDE (RUE);0;N/A;2;3;1;1;0;0;1;;-1;1;0;1;50
202 000 008 159,00;3;DRAGUIGNAN (ROUTE DE) - D2562-;0;N/A;2;2;0;2;8;646;3;;-1;1;0;1;50
202 000 008 160,00;3;HUGO (BOULEVARD ET TRAVERSE VICTOR);0;N/A;2;2;0;2;11;658;2;;-1;1;0;1;50
202 000 008 161,00;4;N/A;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
202 000 008 162,00;4;N/A;0;N/A;1;2;2;1;30;0;1;;-1;1;0;1;50
202 000 008 163,00;4;N/A;0;N/A;2;2;2;1;0;0;3;;-1;1;-1;5;50
202 000 008 164,00;4;N/A;0;N/A;2;2;3;1;0;0;1;;-1;1;0;1;50
202 000 008 165,00;4;N/A;0;N/A;-1;2;0;1;0;0;1;;-1;1;0;1;50
202 000 008 166,00;4;N/A;0;N/A;1;2;0;1;0;0;1;;-1;1;0;1;50
202 000 008 167,00;4;N/A;0;N/A;1;1;0;1;0;0;1;;-1;2;0;1;50
202 000 008 168,00;4;N/A;0;N/A;2;2;2;1;0;0;1;;-1;1;-1;5;50
202 000 008 169,00;4;N/A;0;N/A;1;2;0;1;0;0;1;;-1;1;0;1;50
202 000 008 170,00;4;N/A;0;N/A;2;3;3;1;0;0;1;;-1;2;0;1;50
202 000 008 171,00;4;N/A;0;N/A;1;4;1;1;0;0;1;;-1;1;-1;5;30
202 000 008 172,00;4;N/A;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
202 000 008 173,00;4;JULIAN GRIMAU (R);0;N/A;2;2;0;1;0;0;1;;-1;2;0;1;50
202 000 008 174,00;3;GABRIEL PERI (AV);0;N/A;1;2;0;1;0;0;1;;-1;1;0;1;50
202 000 008 175,00;2;ALBERT 1ER (BD);0;N/A;1;3;0;1;0;0;1;;-1;1;0;1;50
202 000 008 176,00;4;GAMBETTA (R);0;N/A;1;1;0;1;0;1;1;;-1;1;0;1;50
202 000 008 177,00;3;PAUL VAILLANT COUTURIER (BD);0;N/A;-1;2;0;1;-1;-1;1;;-1;1;0;1;30
202 000 008 178,00;3;243;0;N/A;-1;2;0;1;-1;-1;1;;-1;2;0;1;50
202 000 008 179,00;4;JEAN MERMOZ (R);0;N/A;-1;2;0;2;0;1;1;;-1;1;0;4;30
202 000 008 180,00;3;FRIEDBERG (BD DE);0;N/A;3;4;0;1;-1;-1;1;;-1;1;0;1;50
202 000 008 181,00;7;MAURICE THOREZ (AV);0;N/A;2;2;0;1;0;0;1;;-1;1;5;1;50
202 000 008 182,00;3;933;0;N/A;1;3;3;1;0;1;1;;-1;1;0;1;50
202 000 008 183,00;3;61;-1;B;2;-1;-1;2;-1;-1;1;;-1;1;5;1;-1
202 000 008 184,00;3;993;0;N/A;1;3;0;1;0;0;1;;-1;2;0;1;20
202 000 008 185,00;4;EUROPE (AV DE L');0;N/A;2;3;1;1;0;0;1;;-1;1;0;1;50
202 000 008 186,00;3;53;0;N/A;2;2;0;2;4;490;2;;-1;1;0;3;80
202 000 008 187,00;3;131;0;C;2;2;0;2;2;955;1;;-1;1;0;1;80
202 000 008 188,00;3;912;-1;N/A;2;2;0;1;5;551;1;;-1;1;6;1;50
202 000 008 189,00;3;922;-1;N/A;1;2;0;1;33;0;2;;-1;1;0;1;50
202 000 008 190,00;3;88;0;D;2;2;0;1;13;800;3;;-1;2;0;1;80
202 000 008 191,00;3;25;-1;N/A;2;2;0;1;21;700;1;;-1;1;0;3;80
202 000 008 192,00;7;RD826;-1;N/A;3;1;3;1;-1;-1;1;;-1;1;9;1;50
202 000 008 193,00;3;31;0;D;2;2;0;4;16;500;2;;-1;1;0;3;80
202 000 008 194,00;1;11;-1;N/A;3;5;0;1;113;800;1;;-1;1;9;3;130
202 000 008 195,00;1;8;-1;A;3;3;3;1;80;0;3;;-1;1;0;2;130
202 000 008 196,00;1;57;-1;A;3;4;0;1;18;700;1;;-1;1;0;1;110
202 000 008 197,00;3;60;-1;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;80
202 000 008 198,00;3;36;-1;N/A;2;2;0;1;4;0;3;;-1;2;0;3;80
202 000 008 199,00;3;163;-1;N/A;2;2;0;1;7;580;1;;-1;1;0;1;80
202 000 008 200,00;1;7;-1;N/A;3;3;0;1;119;1;1;;-1;1;0;1;130
202 000 008 201,00;3;1005;0;N/A;2;2;3;1;25;200;1;;-1;1;0;1;-1
202 000 008 202,00;1;38;-1;N/A;3;4;0;1;21;80;1;;-1;1;3;1;130
202 000 008 203,00;3;6085;-1;N/A;2;2;0;2;32;106;1;;-1;1;0;1;80
202 000 008 204,00;9;N/A;-1;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
202 000 008 205,00;2;109;0;N/A;3;4;0;1;10;240;1;;-1;2;0;1;110
202 000 008 206,00;1;75;-1;N/A;3;4;0;1;111;315;2;;-1;1;0;3;130
202 000 008 207,00;1;75;0;N/A;3;4;0;3;186;280;2;;-1;1;0;1;130
202 000 008 208,00;3;20;0;D;2;2;0;1;40;500;1;;-1;1;0;8;80
202 000 008 209,00;3;3,30E+02;-1;N/A;2;2;0;2;-1;-1;1;;-1;2;0;3;80
202 000 008 210,00;3;79;0;D;2;2;0;1;9;400;1;;-1;1;0;1;80
202 000 008 211,00;3;85;-1;N/A;2;2;0;2;15;400;1;;-1;1;0;1;80
202 000 008 212,00;4;N/A;0;N/A;2;2;0;1;-1;-1;3;;-1;1;0;3;80
202 000 008 213,00;2;44;-1;N/A;3;4;0;1;53;300;1;;-1;1;0;3;110
202 000 008 214,00;3;D121;-1;N/A;2;2;0;1;4;0;3;;-1;1;0;3;80
202 000 008 215,00;3;468;0;N/A;2;2;0;1;8;240;1;;-1;1;0;1;80
202 000 008 216,00;2;T10;-1;N/A;3;2;0;1;132;347;1;;-1;1;0;1;70
202 000 008 217,00;4;1;0;C;-1;2;0;1;-1;-1;1;;-1;2;0;1;-1
202 000 008 218,00;3;26;-1;N/A;2;2;0;2;72;100;2;;-1;2;0;8;80
202 000 008 219,00;3;920;-1;N/A;2;2;0;2;4;0;1;;-1;1;0;1;70
202 000 008 220,00;3;43;-1;N/A;2;2;0;2;20;200;4;;-1;2;0;3;80
202 000 008 221,00;3;48;-1;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
202 000 008 222,00;3;32;-1;N/A;2;2;0;1;3;0;3;;-1;1;0;1;70
202 000 008 223,00;3;117;0;N/A;2;2;0;1;14;400;3;;-1;1;0;1;50
202 000 008 224,00;3;1083;-1;N/A;2;2;0;1;10;500;1;;-1;1;0;1;80
202 000 008 225,00;3;559;-1;N/A;2;2;1;1;92;575;1;;-1;1;0;1;70
202 000 008 226,00;3;92;-1;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
202 000 008 227,00;3;976;-1;N/A;2;2;0;3;2;850;1;;-1;2;0;1;50
202 000 008 228,00;3;21;-1;N/A;2;2;0;1;54;465;1;;-1;1;0;3;90
202 000 008 229,00;3;905;0;A;2;2;0;1;5;270;1;;-1;1;0;1;80
202 000 008 230,00;3;432;0;N/A;2;2;0;3;1;650;3;;-1;1;0;8;80
202 000 008 231,00;3;36;-1;N/A;2;2;0;2;6;445;1;;-1;1;2;1;80
202 000 008 232,00;4;1;0;N/A;2;2;0;1;-1;-1;2;;-1;1;0;1;50
202 000 008 233,00;4;N/A;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;30
202 000 008 234,00;3;15;-1;N/A;2;2;0;1;24;400;3;;-1;1;0;1;80
202 000 008 235,00;3;417;0;N/A;2;2;0;1;28;550;1;;-1;1;5;1;80
202 000 008 236,00;3;15;-1;N/A;-1;2;0;1;-1;-1;1;;-1;1;0;4;5
202 000 008 237,00;3;673;-1;N/A;3;4;0;1;12;162;2;;-1;1;0;1;90
202 000 008 238,00;3;34;-1;N/A;2;2;0;4;28;232;1;;-1;1;0;1;-1
202 000 008 239,00;3;857;-1;N/A;3;1;0;1;28;893;1;;-1;1;0;1;50
202 000 008 240,00;3;69;-1;N/A;-1;2;0;1;15;300;1;;-1;1;5;1;80
202 000 008 241,00;3;48;0;N/A;2;2;0;1;4;500;1;;-1;1;0;1;50
202 000 008 242,00;3;1532;0;N/A;2;2;0;1;1;900;1;;-1;1;9;3;50
202 000 008 243,00;3;3071;0;D;2;2;0;2;0;100;2;;-1;1;0;1;50
202 000 008 244,00;4;V.C.;-1;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;80
202 000 008 245,00;3;94;-1;N/A;2;2;0;1;20;100;1;;-1;1;0;3;80
202 000 008 246,00;9;N/A;0;N/A;2;2;0;2;0;0;3;;-1;1;0;1;80
202 000 008 247,00;7;97;-1;N/A;2;2;0;2;-1;-1;3;;-1;1;0;1;90
202 000 008 248,00;3;2204;0;N/A;2;2;0;2;60;502;3;;-1;1;0;1;80
202 000 008 249,00;3;154;-1;N/A;2;2;0;1;5;800;2;;-1;1;0;3;80
202 000 008 250,00;3;944;0;N/A;2;2;0;1;19;0;1;;-1;1;0;1;50
202 000 008 251,00;3;73;-1;N/A;2;2;0;1;-1;-1;1;;-1;2;0;1;80
202 000 008 252,00;3;921;0;N/A;2;2;0;1;43;670;1;;-1;1;0;3;80
202 000 008 253,00;3;15;-1;N/A;2;2;0;1;22;680;1;;-1;1;0;1;50
202 000 008 254,00;3;918;-1;N/A;2;2;0;1;55;200;2;;-1;1;0;3;80
202 000 008 255,00;3;362;0;N/A;2;2;0;2;-1;-1;1;;-1;1;0;1;70
202 000 008 256,00;4;N/A;-1;N/A;2;2;0;1;-1;-1;1;;-1;1;0;3;50
202 000 008 257,00;4;N/A;-1;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
202 000 008 258,00;3;11;-1;N/A;2;2;0;2;1;500;1;;-1;1;0;8;80
202 000 008 259,00;3;924;0;N/A;2;2;0;1;26;-1;1;;-1;1;0;1;80
202 000 008 260,00;3;31;0;D;2;2;0;2;12;800;3;;-1;1;0;1;50
202 000 008 261,00;3;949;2;N/A;2;2;0;1;5;30;1;;-1;1;0;1;80
202 000 008 262,00;3;45;0;N/A;2;2;0;1;56;400;1;;-1;1;0;1;-1
202 000 008 263,00;4;N/A;-1;N/A;2;2;0;1;-1;-1;2;;-1;1;0;3;50
202 000 008 264,00;3;6110;-1;N/A;2;2;0;2;30;370;1;;-1;1;0;1;80
202 000 008 265,00;3;52;0;N/A;2;2;0;1;28;600;2;;-1;1;0;1;80
202 000 008 266,00;3;1;0;D;2;2;0;4;22;300;1;;-1;1;0;8;50
202 000 008 267,00;4;AVENUE GASTON BOURRY;0;N/A;1;1;0;1;-1;-1;2;;-1;1;0;1;50
202 000 008 268,00;1;39;0;N/A;3;4;0;1;136;915;1;;-1;1;0;3;130
202 000 008 269,00;3;307;-1;N/A;3;4;0;1;-1;-1;1;;-1;1;5;1;50
202 000 008 270,00;3;5;-1;A;2;2;0;2;2;300;3;;-1;1;0;1;50
202 000 008 271,00;2;1;-1;N/A;2;2;0;1;7;900;1;;-1;1;2;1;60
202 000 008 272,00;1;9;-1;N/A;3;3;0;1;129;700;1;;-1;1;0;2;130
202 000 008 273,00;3;27;0;D;2;2;0;2;12;0;2;;-1;1;0;1;20
202 000 008 274,00;2;164;0;N/A;2;2;0;2;56;700;1;;-1;1;0;1;80
202 000 008 275,00;1;10;0;N/A;3;6;3;1;85;500;1;;-1;1;0;1;130
202 000 008 276,00;1;10;0;N/A;1;3;3;1;110;360;1;;-1;1;0;1;130
202 000 008 277,00;4;4;0;C;2;2;0;1;-1;-1;1;;-1;1;0;1;70
202 000 008 278,00;2;2;-1;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
202 000 008 279,00;3;22;0;N/A;2;2;0;1;28;750;1;;-1;7;0;1;50
202 000 008 280,00;3;669;0;N/A;2;2;0;1;25;0;1;;-1;1;0;1;50
202 000 008 281,00;3;765;0;N/A;1;2;0;1;75;400;1;;-1;2;5;1;50
202 000 008 282,00;1;A50-Sens Marseille vers Aubagne;0;N/A;1;4;0;1;3;0;1;;-1;1;0;1;70
202 000 008 283,00;6;EPINETTE ROND POINT DE L;0;N/A;-1;0;0;1;0;0;1;;-1;1;9;8;30
202 000 008 284,00;4;N/A;0;N/A;2;2;0;1;0;0;3;;-1;1;0;8;50
202 000 008 285,00;4;PIERRE LOTI (ALLEE QTIER POROI);0;N/A;2;2;0;1;4;0;1;;-1;1;0;1;50
202 000 008 286,00;2;kaweni-Mangrove (route de la);0;N/A;2;0;0;1;0;0;1;;-1;1;0;1;50
202 000 008 287,00;3;3;0;N/A;2;0;0;1;0;303;1;;-1;1;0;1;50
202 000 008 288,00;4;N/A;0;N/A;3;2;0;1;0;0;1;;-1;1;0;1;50
202 000 008 289,00;4;AMUSANT (PAUL);0;N/A;1;1;0;1;-1;-1;1;;-1;1;0;1;50
202 000 008 290,00;4;N/A;0;N/A;1;1;2;1;0;0;1;;-1;1;0;1;30
202 000 008 291,00;3;RD 41 (ROCADE);0;N/A;3;4;0;2;1;0;1;;-1;1;0;1;60
202 000 008 292,00;4;BISHOP (Avenue Maurice);0;N/A;3;6;3;1;2;300;1;;-1;1;0;1;50
202 000 008 293,00;4;N/A;0;N/A;2;2;0;1;0;0;1;;-1;1;0;3;50
202 000 008 294,00;2;4;0;N/A;2;3;0;1;-1;-1;1;;-1;1;0;1;70
202 000 008 295,00;4;EAU DES COLLINES (ALLEE L');0;N/A;2;0;0;1;-1;-1;1;;-1;1;0;1;30
202 000 008 296,00;3;449;0;N/A;1;2;0;1;0;0;2;;-1;1;0;1;50
202 000 008 297,00;2;20;0;N/A;3;4;0;4;0;0;1;;-1;2;0;1;70
202 000 008 298,00;4;N/A;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;30
202 000 008 299,00;7;N/A;0;N/A;2;2;0;1;0;0;1;;-1;2;0;1;50
202 000 008 300,00;3;RD 760;0;N/A;2;2;0;1;88;1;1;;-1;7;0;1;80
202 000 008 301,00;4;NC;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
202 000 008 302,00;3;559;0;N/A;1;2;0;1;22;300;2;;-1;1;0;1;50
202 000 008 303,00;4;N2020;0;N/A;2;3;2;1;0;0;1;;-1;1;0;1;50
202 000 008 304,00;3;43;0;N/A;3;4;0;1;3;920;1;;-1;1;0;1;50
202 000 008 305,00;4;LHOSTE (RUE JOSEPH);0;N/A;1;2;2;1;0;0;1;;-1;1;0;5;50
202 000 008 306,00;4;GENEVE RUE DE;0;N/A;2;2;0;1;-1;-1;1;;-1;1;6;1;20
202 000 008 307,00;3;906;0;N/A;3;5;0;3;75;500;1;;-1;2;0;1;50
202 000 008 308,00;4;N/A;0;N/A;2;2;1;1;0;0;1;;-1;2;0;1;50
202 000 008 309,00;3;318;0;N/A;2;2;0;1;0;1;1;;-1;2;0;1;50
202 000 008 310,00;4;N/A;0;N/A;2;2;0;1;0;0;1;;-1;2;0;1;50
202 000 008 311,00;4;N/A;0;N/A;1;2;0;1;0;0;1;;-1;2;0;1;50
202 000 008 312,00;4;N/A;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
202 000 008 313,00;4;N/A;0;BIS;-1;2;0;1;0;0;1;;-1;2;0;4;50
202 000 008 314,00;3;N/A;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
202 000 008 315,00;4;PARIS AVENUE DE;0;N/A;2;0;0;1;0;0;1;;-1;2;0;1;50
202 000 008 316,00;4;RAYMOND POINCARE (ALLEE) -;0;N/A;3;4;0;1;0;0;1;;-1;2;0;1;50
202 000 008 317,00;4;N/A;0;N/A;2;2;0;1;-1;-1;1;;-1;2;5;1;30
202 000 008 318,00;4;N/A;0;N/A;2;2;2;2;-1;-1;1;;-1;1;0;1;30
202 000 008 319,00;4;N/A;0;N/A;2;2;0;3;0;0;3;;-1;1;0;1;70
202 000 008 320,00;3;RD 213;0;N/A;3;4;0;1;14;0;1;;-1;2;0;1;90
202 000 008 321,00;4;N/A;0;N/A;2;2;0;1;-1;-1;1;;-1;2;0;1;50
202 000 008 322,00;3;920;0;N/A;3;2;0;1;41;285;1;;-1;1;-1;1;50
202 000 008 323,00;4;N/A;0;N/A;2;2;0;1;0;0;1;;-1;1;-1;1;50
202 000 008 324,00;4;Route de la Brauderie;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
202 000 008 325,00;4;FOUGERES (RUE DE);0;N/A;2;2;1;1;-1;-1;1;;-1;2;0;1;50
202 000 008 326,00;1;A631;0;N/A;3;7;0;1;0;685;1;;-1;2;0;1;90
202 000 008 327,00;4;RUE JOSEPH BRUNET;0;N/A;2;4;3;1;-1;-1;1;;-1;1;0;1;50
202 000 008 328,00;4;AVE DU MARECHAL LECLERC;0;N/A;2;6;1;1;-1;-1;1;;-1;1;0;1;50
202 000 008 329,00;4;AVE DE NOES;0;N/A;2;2;0;1;-1;-1;2;;-1;2;0;8;50
202 000 008 330,00;2;SADI-CARNOT (BOULEVARD);0;N/A;1;2;0;1;0;0;1;;-1;2;0;1;50
202 000 008 331,00;4;MINIMES (BD DES) DU 1AU 76;0;N/A;1;3;3;1;0;0;1;;-1;1;0;1;50
202 000 008 332,00;4;DIEBOLD (Place);0;N/A;-1;2;0;1;0;0;1;;-1;2;0;1;50
202 000 008 333,00;4;RAULT (VICTOR);0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
202 000 008 334,00;3;401;0;N/A;2;4;0;1;1;0;1;;-1;1;0;1;50
202 000 008 335,00;4;SAINT PAUL (AVENUE);0;N/A;2;2;0;2;1;0;3;;-1;2;0;1;50
202 000 008 336,00;3;4;0;N/A;1;3;0;2;0;0;3;;-1;1;0;4;50
202 000 008 337,00;4;DOCTEUR CAUVIN (RUE);0;N/A;-1;2;0;1;0;0;2;;-1;1;0;1;50
202 000 008 338,00;7;JULES CANTINI (AVENUE);0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
202 000 008 339,00;4;GASSION (AVENUE FERNAND );0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
202 000 008 340,00;4;PECLET (RUE);0;N/A;2;2;0;1;0;0;1;;-1;1;9;1;50
202 000 008 341,00;4;CURIE PIERRE ET MARIE AVENUE;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
202 000 008 342,00;3;VC;0;N/A;2;0;0;1;-1;-1;1;;-1;2;0;1;50
202 000 008 343,00;4;N/A;0;N/A;1;2;0;2;23;391;2;;-1;2;0;1;50
202 000 008 344,00;4;N/A;0;N/A;2;3;0;2;0;0;1;;-1;2;0;1;50
202 000 008 345,00;4;N/A;0;N/A;1;1;1;1;0;0;1;;-1;1;-1;5;50
202 000 008 346,00;4;N/A;0;N/A;2;2;0;1;0;0;1;;-1;2;0;1;30
202 000 008 347,00;4;N/A;0;N/A;2;4;1;1;0;0;1;;-1;1;-1;5;30
202 000 008 348,00;3;155;0;N/A;3;2;0;1;0;1;1;;-1;2;0;1;50
202 000 008 349,00;4;CHOISY (R DE);0;N/A;2;2;0;1;0;1;1;;-1;2;0;3;50
202 000 008 350,00;3;155;0;N/A;2;2;0;1;0;1;1;;-1;2;0;1;50
202 000 008 351,00;3;44;0;N/A;2;2;2;1;10;1;1;;-1;1;0;1;50
202 000 008 352,00;3;38;0;N/A;2;2;0;2;0;1;1;;-1;2;0;1;50
202 000 008 353,00;3;109;0;N/A;3;4;0;1;0;0;1;;-1;2;0;1;50
202 000 008 354,00;3;132;-1;N/A;2;2;0;1;7;0;1;;-1;2;5;1;40
202 000 008 355,00;3;17;-1;N/A;2;2;0;1;21;0;1;;-1;1;0;1;80
202 000 008 356,00;3;70;0;N/A;2;2;0;1;-1;-1;1;;-1;2;0;8;80
202 000 008 357,00;4;N/A;-1;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;30
202 000 008 358,00;4;rue des Zignias;-1;N/A;2;2;0;1;-1;-1;4;;-1;1;0;1;50
202 000 008 359,00;3;952;0;N/A;2;2;0;1;35;1;1;;-1;1;0;1;90
202 000 008 360,00;1;1;0;A;1;3;0;1;112;300;1;;-1;1;0;1;130
202 000 008 361,00;1;A507 sens Marseille - Aubagne;0;N/A;1;1;0;1;0;200;2;;-1;2;0;2;70
202 000 008 362,00;2;88;0;N/A;3;6;0;1;30;975;1;;-1;2;0;1;110
202 000 008 363,00;1;10;0;N/A;3;6;0;2;534;400;2;;-1;2;0;1;130
202 000 008 364,00;1;86;0;N/A;1;2;0;1;50;180;1;;-1;1;1;1;70
202 000 008 365,00;1;AUTOROUTE A6B;0;N/A;-1;3;0;1;0;300;2;;-1;2;0;1;70
202 000 008 366,00;1;6;0;B;3;2;0;1;0;300;1;;-1;2;1;1;50
202 000 008 367,00;1;A13;0;N/A;1;3;0;1;33;900;1;;-1;1;0;1;110
202 000 008 368,00;2;385;0;N/A;3;6;0;1;58;400;1;;-1;2;0;1;90
202 000 008 369,00;1;86;0;N/A;3;4;0;1;5;699;1;;-1;2;0;1;90
202 000 008 370,00;2;184;0;N/A;3;6;0;1;11;800;1;;-1;1;0;1;90
202 000 008 371,00;1;115;0;N/A;3;7;0;1;10;600;1;;-1;1;3;1;70
202 000 008 372,00;1;1;0;N/A;3;9;0;1;12;600;1;;-1;2;2;1;70
202 000 008 373,00;1;AUTOROUTE A86;0;N/A;3;3;0;1;18;299;2;;-1;2;0;1;90
202 000 008 374,00;1;86;0;N/A;3;6;0;1;11;319;1;;-1;2;1;1;70
202 000 008 375,00;1;15;0;N/A;3;4;0;1;8;600;1;;-1;2;0;1;110
202 000 008 376,00;1;1;0;N/A;1;2;0;1;21;250;1;;-1;1;3;1;70
